coin,venue,venue_symbol,funding_rate,interval_min,rate_8h_equiv,price,cross_venue_median_price,fingerprint
TSLA,HL,xyz:TSLA,-0.0000188498,60,-0.0001507984,421.39,421.74,PASS
TSLA,BINANCE,TSLAUSDT,0,480,0,421.52783585,421.74,PASS
TSLA,BYBIT,TSLAUSDT,0,480,0,421.74,421.74,PASS
TSLA,OKX,TSLA-USDT-SWAP,0,480,0,422.02,421.74,PASS
TSLA,BITGET,TSLAUSDT,0,480,0,421.81,421.74,PASS
NVDA,HL,xyz:NVDA,0.0000194457,60,0.0001555656,215.56,215.69,PASS
NVDA,BINANCE,NVDAUSDT,0,480,0,215.56,215.69,PASS
NVDA,BYBIT,NVDAUSDT,0.00003843,480,0.00003843,215.69,215.69,PASS
NVDA,OKX,NVDA-USDT-SWAP,0.0001629335530673,480,0.0001629335530673,215.8,215.69,PASS
NVDA,BITGET,NVDAUSDT,0,480,0,215.71,215.69,PASS
AAPL,HL,xyz:AAPL,-0.0000338783,60,-0.0002710264,312.87,313.02762837,PASS
AAPL,BINANCE,AAPLUSDT,0,480,0,313.02762837,313.02762837,PASS
AAPL,BYBIT,AAPLUSDT,0,480,0,313.04,313.02762837,PASS
AAPL,OKX,AAPL-USDT-SWAP,0,480,0,313.12,313.02762837,PASS
AAPL,BITGET,AAPLUSDT,0,480,0,313.01,313.02762837,PASS
AMZN,HL,xyz:AMZN,0.0000260699,60,0.0002085592,251.47,251.51,PASS
AMZN,BINANCE,AMZNUSDT,0,480,0,251.37,251.51,PASS
AMZN,BYBIT,AMZNUSDT,0,480,0,251.65,251.51,PASS
AMZN,OKX,AMZN-USDT-SWAP,0,480,0,251.51,251.51,PASS
AMZN,BITGET,AMZNUSDT,0,480,0,251.53,251.51,PASS
GOOGL,HL,xyz:GOOGL,0.0000112511,60,0.0000900088,361.06,361.19586844,PASS
GOOGL,BINANCE,GOOGLUSDT,0.00026797,480,0.00026797,361.19586844,361.19586844,PASS
GOOGL,BYBIT,GOOGLUSDT,0.0000404,480,0.0000404,361.21,361.19586844,PASS
GOOGL,OKX,GOOGL-USDT-SWAP,0.0003622488299231,480,0.0003622488299231,361.41,361.19586844,PASS
GOOGL,BITGET,GOOGLUSDT,0,480,0,361.15,361.19586844,PASS
META,HL,xyz:META,0.00000625,60,0.00005,619.23,619.91,PASS
META,BINANCE,METAUSDT,0,480,0,619.23,619.91,PASS
META,BYBIT,METAUSDT,0,480,0,619.92,619.91,PASS
META,OKX,META-USDT-SWAP,0,480,0,620.09,619.91,PASS
META,BITGET,METAUSDT,0,480,0,619.91,619.91,PASS
MSFT,HL,xyz:MSFT,0.00000625,60,0.00005,427.92,428.4,PASS
MSFT,BINANCE,MSFTUSDT,0,480,0,428.20475679,428.4,PASS
MSFT,BYBIT,MSFTUSDT,0,480,0,428.4,428.4,PASS
MSFT,OKX,MSFT-USDT-SWAP,0.0001018358108112,480,0.0001018358108112,428.72,428.4,PASS
MSFT,BITGET,MSFTUSDT,0.000194,480,0.000194,428.54,428.4,PASS
AMD,HL,xyz:AMD,0.00000625,60,0.00005,533.18,533.96,PASS
AMD,BINANCE,AMDUSDT,0.00072221,480,0.00072221,533.49518303,533.96,PASS
AMD,BITGET,AMDUSDT,0,480,0,534.2,533.96,PASS
AMD,OKX,AMD-USDT-SWAP,0.0006716241149347,480,0.0006716241149347,533.96,533.96,PASS
ORCL,HL,xyz:ORCL,-0.0000740233,60,-0.0005921864,223.92,224.3231559,PASS
ORCL,BINANCE,ORCLUSDT,0,480,0,224.3231559,224.3231559,PASS
ORCL,BYBIT,ORCLUSDT,0,480,0,224.29,224.3231559,PASS
ORCL,OKX,ORCL-USDT-SWAP,0,480,0,224.53,224.3231559,PASS
ORCL,BITGET,ORCLUSDT,0,480,0,224.42,224.3231559,PASS
NFLX,HL,xyz:NFLX,0.0000120195,60,0.000096156,82.094,82.094,PASS
NFLX,BITGET,NFLXUSDT,0,480,0,82.04,82.094,PASS
PLTR,HL,xyz:PLTR,0.00000625,60,0.00005,142.14,142.24,PASS
PLTR,BINANCE,PLTRUSDT,0,480,0,142.20667017,142.24,PASS
PLTR,BYBIT,PLTRUSDT,0,480,0,142.24,142.24,PASS
PLTR,OKX,PLTR-USDT-SWAP,0,480,0,142.25,142.24,PASS
PLTR,BITGET,PLTRUSDT,0,480,0,142.26,142.24,PASS
COIN,HL,xyz:COIN,-0.0000050379,60,-0.0000403032,163.53,163.55,PASS
COIN,BINANCE,COINUSDT,0,480,0,163.54581812,163.55,PASS
COIN,BYBIT,COINUSDT,0,480,0,163.6,163.55,PASS
COIN,OKX,COIN-USDT-SWAP,0,480,0,163.55,163.55,PASS
COIN,BITGET,COINUSDT,0.000259,480,0.000259,163.77,163.55,PASS
HOOD,HL,xyz:HOOD,0.0000221516,60,0.0001772128,82.557,82.55,PASS
HOOD,BINANCE,HOODUSDT,0,480,0,82.53,82.55,PASS
HOOD,BYBIT,HOODUSDT,0,480,0,82.58,82.55,PASS
HOOD,OKX,HOOD-USDT-SWAP,0,480,0,82.54,82.55,PASS
HOOD,BITGET,HOODUSDT,0,480,0,82.55,82.55,PASS
INTC,HL,xyz:INTC,0.0000431952,60,0.0003455616,113.36,113.36,PASS
INTC,BINANCE,INTCUSDT,0.00006896,480,0.00006896,113.31683199,113.36,PASS
INTC,BYBIT,INTCUSDT,0.00001221,480,0.00001221,113.33,113.36,PASS
INTC,OKX,INTC-USDT-SWAP,0.000105678627216,480,0.000105678627216,113.4,113.36,PASS
INTC,BITGET,INTCUSDT,0.000004,480,0.000004,113.43,113.36,PASS
MU,HL,xyz:MU,0.0000261184,60,0.0002089472,1055.7,1056,PASS
MU,BINANCE,MUUSDT,0,480,0,1055.60236758,1056,PASS
MU,BYBIT,MUUSDT,0,480,0,1056,1056,PASS
MU,OKX,MU-USDT-SWAP,0.0002482317994129,480,0.0002482317994129,1056.8,1056,PASS
MU,BITGET,MUUSDT,0.000108,480,0.000108,1056.52,1056,PASS
MSTR,HL,xyz:MSTR,-0.0000405788,60,-0.0003246304,127.55,127.41,PASS
MSTR,BINANCE,MSTRUSDT,-0.00028925,480,-0.00028925,127.39367868,127.41,PASS
MSTR,BYBIT,MSTRUSDT,0,480,0,127.41,127.41,PASS
MSTR,OKX,MSTR-USDT-SWAP,0,480,0,127.39,127.41,PASS
MSTR,BITGET,MSTRUSDT,0,480,0,127.58,127.41,PASS
BABA,HL,xyz:BABA,0.0000208608,60,0.0001668864,126.02,126.01,PASS
BABA,BINANCE,BABAUSDT,0,480,0,126.01,126.01,PASS
BABA,BITGET,BABAUSDT,0,480,0,125.87,126.01,PASS
LLY,HL,xyz:LLY,0.0000999827,60,0.0007998616,1086.2,1086.2,PASS
LLY,BINANCE,LLYUSDT,0,480,0,1085.1,1086.2,PASS
LLY,BITGET,LLYUSDT,0,480,0,1085.33,1086.2,PASS
LLY,OKX,LLY-USDT-SWAP,0,480,0,1087.1,1086.2,PASS
COST,HL,xyz:COST,-0.0001701953,60,-0.0013615624,968.95,971.73,PASS
